GesNr.,,3,4,5,6,7,8,9,13,14
Nr,,1,1,2,3,3,4,4,5,5
Kurzname,,Mead Node,Mead Node,Mead React,Grider Fullstack,Grider Fullstack,Grider Redux,Grider Redux,Traversy Mongo,Traversy Mongo
name,,node-chat-app,node-todo-api,expensify,server,client,server,redux-simple-starter,vidjot,storybooks
Attr2 \ Attr1,Anz,n-9-23-private-messages,n-10-05-after-async-await-in-todo-api,r-19-12-final-deployment,FullstackReactCode/server,FullstackReactCode/server/client,AdvancedReduxCode/auth/server,AdvancedReduxCode/auth/client,vidjot,storybooks
author,3,---,---,Andrew Mead,---,---,---,---,Brad Traversy,Brad Traversy
dependencies++axios,2,---,---,---,---,^0.16.2,---,^0.9.1,---,---
dependencies++babel-cli,1,---,---,6.24.1,---,---,---,---,---,---
dependencies++babel-core,1,---,---,6.25.0,---,---,---,---,---,---
dependencies++babel-loader,1,---,---,7.1.1,---,---,---,---,---,---
dependencies++babel-plugin-transform-class-properties,1,---,---,6.24.1,---,---,---,---,---,---
dependencies++babel-plugin-transform-object-rest-spread,1,---,---,6.23.0,---,---,---,---,---,---
dependencies++babel-polyfill,1,---,---,6.26.0,---,---,---,---,---,---
dependencies++babel-preset-env,1,---,---,1.5.2,---,---,---,---,---,---
dependencies++babel-preset-react,1,---,---,6.24.1,---,---,---,---,---,---
dependencies++babel-preset-stage-1,1,---,---,---,---,---,---,^6.1.18,---,---
dependencies++bcrypt-nodejs,1,---,---,---,---,---,0.0.3,---,---,---
dependencies++bcryptjs,2,---,^2.3.0,---,---,---,---,---,^2.4.3,---
dependencies++body-parser,5,---,^1.15.2,---,^1.17.2,---,^1.15.0,---,^1.18.1,^1.18.1
dependencies++concurrently,1,---,---,---,^3.5.0,---,---,---,---,---
dependencies++connect-flash,1,---,---,---,---,---,---,---,^0.1.1,---
dependencies++cookie-parser,1,---,---,---,---,---,---,---,---,^1.4.3
dependencies++cookie-session,1,---,---,---,^2.0.0-beta.2,---,---,---,---,---
dependencies++cors,1,---,---,---,---,---,^2.7.1,---,---,---
dependencies++crypto-js,1,---,^3.1.6,---,---,---,---,---,---,---
dependencies++css-loader,1,---,---,0.28.4,---,---,---,---,---,---
dependencies++express,7,^4.14.0,^4.14.0,4.15.4,^4.15.3,---,^4.13.4,---,^4.15.4,^4.15.4
dependencies++express-handlebars,2,---,---,---,---,---,---,---,^3.0.0,^3.0.0
dependencies++express-session,2,---,---,---,---,---,---,---,^1.15.5,^1.15.5
dependencies++extract-text-webpack-plugin,1,---,---,3.0.0,---,---,---,---,---,---
dependencies++firebase,1,---,---,4.2.0,---,---,---,---,---,---
dependencies++history,1,---,---,4.7.2,---,---,---,---,---,---
dependencies++jsonwebtoken,1,---,^7.1.9,---,---,---,---,---,---,---
dependencies++jwt-simple,1,---,---,---,---,---,^0.5.0,---,---,---
dependencies++localtunnel,1,---,---,---,^1.8.3,---,---,---,---,---
dependencies++lodash,3,---,^4.15.0,---,^4.17.4,---,---,^3.10.1,---,---
dependencies++materialize-css,1,---,---,---,---,^0.99.0,---,---,---,---
dependencies++method-override,2,---,---,---,---,---,---,---,^2.3.9,^2.3.9
dependencies++moment,3,^2.15.1,---,2.18.1,---,---,---,---,---,^2.18.1
